#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
552,MED PACIFIC,9461934,Chornomorsk,India,Sunflower oil,19000,12/14/2022,12/21/2022,:in:,developing,other developing,Lower middle income,50,December
551,ADNAN TORLAK,9243253,Chornomorsk,Türkiye,Sunflower seed,10000,12/14/2022,12/22/2022,:tr:,developing,other developing,Upper middle income,50,December
550,SAKARYA,9257199,Yuzhny/Pivdennyi,Türkiye,Wheat,29000,12/13/2022,12/18/2022,:tr:,developing,other developing,Upper middle income,50,December
549,RIDER,9017628,Odesa,Italy,Soya beans,9050,12/13/2022,12/20/2022,:it:,developed,developed,High income,50,December
548,MAVKA,9284647,Yuzhny/Pivdennyi,Romania,Sunflower oil,6250,12/13/2022,12/19/2022,:ro:,developed,developed,High income,50,December
548,MAVKA,9284647,Yuzhny/Pivdennyi,Spain,Sunflower oil,6250,12/13/2022,12/19/2022,:es:,developed,developed,High income,50,December
547,LADY LAGUNA,9354040,Chornomorsk,Türkiye,Wheat,18100,12/13/2022,12/27/2022,:tr:,developing,other developing,Upper middle income,50,December
546,LADY AYSE,9227871,Chornomorsk,Spain,Sunflower meal,10500,12/13/2022,12/21/2022,:es:,developed,developed,High income,50,December
545,DS MANATEE,9255189,Odesa,Italy,Corn,21000,12/13/2022,12/21/2022,:it:,developed,developed,High income,50,December
545,DS MANATEE,9255189,Odesa,Italy,Soya beans,5250,12/13/2022,12/21/2022,:it:,developed,developed,High income,50,December
544,CHOLA VIRTUE,9267601,Chornomorsk,China,Corn,65234,12/13/2022,12/20/2022,:cn:,developing,other developing,Upper middle income,50,December
543,RUBYMAR,9138898,Odesa,Egypt,Wheat,35000,12/11/2022,12/23/2022,:eg:,developing,other developing,Lower middle income,49,December
542,LADY YOUMNA,9268423,Chornomorsk,Saudi Arabia,Sunflower oil,4000,12/11/2022,12/18/2022,:sa:,developing,other developing,High income,49,December
542,LADY YOUMNA,9268423,Chornomorsk,United Arab Emirates,Sunflower oil,11900,12/11/2022,12/18/2022,:ae:,developing,other developing,High income,49,December
541,JAGUAR MAX,9589140,Chornomorsk,Greece,Rapeseed,28000,12/11/2022,12/19/2022,:gr:,developed,developed,High income,49,December
541,JAGUAR MAX,9589140,Chornomorsk,Spain,Wheat,40000,12/11/2022,12/19/2022,:es:,developed,developed,High income,49,December
540,IOANNIS K,9706774,Chornomorsk,The Netherlands,Corn,66000,12/11/2022,12/17/2022,:nl:,developed,developed,High income,49,December
539,TINA S,9498432,Chornomorsk,Portugal,Corn,30015,12/10/2022,12/17/2022,:pt:,developed,developed,High income,49,December
538,PATRICIA V,9453054,Yuzhny/Pivdennyi,Belgium,Corn,60965,12/10/2022,12/17/2022,:be:,developed,developed,High income,49,December
537,INASE,9445148,Odesa,Italy,Sunflower meal,19500,12/10/2022,12/16/2022,:it:,developed,developed,High income,49,December
536,AGIOS NIKOLAOS,9502776,Yuzhny/Pivdennyi,Belgium,Wheat,33000,12/10/2022,12/12/2022,:be:,developed,developed,High income,49,December
535,LARA S,9334301,Chornomorsk,Türkiye,Sunflower oil,5750,12/9/2022,12/16/2022,:tr:,developing,other developing,Upper middle income,49,December
534,AKSON SERIN,9275311,Yuzhny/Pivdennyi,Egypt,Corn,44350,12/9/2022,12/18/2022,:eg:,developing,other developing,Lower middle income,49,December
533,GUDENA,9280196,Odesa,Bulgaria,Sunflower oil,3900,12/8/2022,12/12/2022,:bg:,developed,developed,Upper middle income,49,December
